id,title,abstract,authors,year,venue,search_strings;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"11,Large Language Model-Based Agents for Software Engineering: A Survey,""The recent advance in Large Language Models (LLMs) has shaped a new paradigm of AI agents, i.e., LLM-based agents. Compared to standalone LLMs, LLM-based agents substantially extend the versatility and expertise of LLMs by enhancing LLMs with the capabilities of perceiving and utilizing external resources and tools. To date, LLM-based agents have been applied and shown remarkable effectiveness in Software Engineering (SE). The synergy between multiple agents and human interaction brings further promise in tackling complex real-world SE problems. In this work, we present a comprehensive and systematic survey on LLM-based agents for SE. We collect 124 papers and categorize them from two perspectives, i.e., the SE and agent perspectives. In addition, we discuss open challenges and future directions in this critical domain. The repository of this survey is at https://github.com/FudanSELab/Agent4SE-Paper-List."",""Liu, Junwei"; Wang, Kaixin; Chen, Yixuan; Peng, Xin; Chen, Zhenpeng; Zhang, Lingming;" Lou, Yiling"",,ACM Transactions on Software Engineering and Methodology,String B";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"12,On the Evaluation of Large Language Models in Unit Test Generation,""Unit testing is an essential activity in software development for verifying the correctness of software components. However, manually writing unit tests is challenging and time-consuming. The emergence of Large Language Models (LLMs) offers a new direction for automating unit test generation. Existing research primarily focuses on closed-source LLMs (e.g., ChatGPT and CodeX) with fixed prompting strategies, leaving the capabilities of advanced open-source LLMs with various prompting settings unexplored. Particularly, open-source LLMs offer advantages in data privacy protection and have demonstrated superior performance in some tasks. Moreover, effective prompting is crucial for maximizing LLMs' capabilities. In this paper, we conduct the first empirical study to fill this gap, based on 17 Java projects, five widely-used open-source LLMs with different structures and parameter sizes, and comprehensive evaluation metrics. Our findings highlight the significant influence of various prompt factors, show the performance of open-source LLMs compared to the commercial GPT-4 and the traditional Evosuite, and identify limitations in LLM-based unit test generation. We then derive a series of implications from our study to guide future research and practical use of LLM-based unit test generation."",""Yang, Lin"; Yang, Chen; Gao, Shutao; Wang, Weijing; Wang, Bo; Zhu, Qihao; Chu, Xiao; Zhou, Jianyi; Liang, Guangtai; Wang, Qianxiang;" Chen, Junjie"",2024,Proceedings of the 39th IEEE/ACM International Conference on Automated Software Engineering,String A";;;;;;;;;;;;;;;;;;;;;;;;;;;
"13,From Scenario to Code: Structured Prompting for LLM-Based Unit Test Generation,""Automated unit test generation is crucial for improving software quality. Existing tools such as EvoSuite exhibits several limitations by generating tests that may lack readability and clarity. These tools may also struggle to cover specific code branches, particularly when complex code components are targetted. Furthermore, studies have shown that the generated unit tests may contain incorrect assertions or cause unexpected behaviors. To address these challenges, we propose a novel approach referred as Two-Step Zero-Shot Prompting (2SZSP), which leverages large language models (LLMs) to structure test generation by identifying relevant test scenarios and generating the corresponding unit test code. Our approach was evaluated on multiple object-oriented projects written in Java from the SBST 2020 dataset and compared to EvoSuite. The results show that, while our approach achieves lower code coverage, it generates more readable, better-contextualized tests with higher mutation score suggesting an increased ability to detect faults. These results pave the way for the integration of LLMs into automated testing pipelines, with the potential to improve the relevance of generated tests and their impact on software robustness."",""Diop, Aminata"; Toure, Fadel;" Badri, Mourad"",2025,Proceedings of the 2025 7th World Symposium on Software Engineering,String B";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"14,Automated Unit Test Generation via Chain-of-Thought Prompt and Reinforcement Learning from Coverage Feedback,""Recently, Large Language Models (LLMs) have shown promising results in code generation, and several automated test generation approaches based on LLMs have been proposed. Although these approaches achieve promising performance, they suffer from two limitations. First, they lack the intrinsic understanding of the semantic intricacies and logical constructs inherent to the focal method. Second, they ignore the diversity of the generated tests and generate tests with limited code coverage.To alleviate these two limitations, in this work, we propose a novel approach named TestCTRL that optimizes LLMs for unit test generation by the Chain-of-Thought (CoT) prompt and Reinforcement Learning (RL) strategy. Specifically, we first build a new CoT dataset, containing the focal methods, corresponding unit tests, and CoT prompts. The CoT prompt includes the intention and possible test input values. Then, the CoT dataset is used to fine-tune one LLM (i.e., CodeLlama 7B) that can be seen as the policy model in RL. Meanwhile, we fine-tune another LLM (i.e., CodeGPT) as the reward model by predicting the line coverage of the focal method and its test. Moreover, we employ the Proximal Policy Optimization (PPO) algorithm to optimize the policy model and generate unit tests. We use the Defects4J benchmark to evaluate our approach from three perspectives (i.e., naturalness, validity, and code coverage). To avoid data leakage threats, we filtered out data from the CoT dataset that have the same focal method and test case names as those in the Defects4J. The experimental results demonstrate that TestCTRL outperforms state-of-the-art baselines in line and branch coverages, respectively. Besides, TestCTRL improves bug detection performance. We also investigate the reason for the proposed approach’s superiority."",""Zhang, Junwei"; Hu, Xing; Xia, Xin; Cheung, Shing-Chi;" Li, Shanping"",2026,ACM Transactions on Software Engineering and Methodology,String A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"15,Syntest-JavaScript: Automated Unit-Level Test Case Generation for JavaScript,""Over the last decades, various tools (e.g., AUSTIN and EvoSuite) have been developed to automate the process of unit-level test case generation. Most of these tools are designed for statically-typed languages, such as C and Java. However, as is shown in recent Stack Overflow developer surveys, the popularity of dynamically-typed languages, such as JavaScript and Python, has been increasing and is dominating the charts. Only recently, tools for automated test case generation of dynamically-typed languages have started to emerge (e.g., Pynguin for Python). However, to the best of our knowledge, there is no tool that focuses on automated test case generation for server-side JavaScript. To this aim, we introduce SynTest-JavaScript, a user-friendly tool for automated unit-level test case generation for (server-side) JavaScript. To showcase the effectiveness of SynTest-JavaScript, we empirically evaluate it on five large open-source JavaScript projects and one artificial one."",""Olsthoorn, Mitchell"; Stallenberg, Dimitri;" Panichella, Annibale"",2024,Proceedings of the 17th ACM/IEEE International Workshop on Search-Based and Fuzz Testing,String A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"16,Automated Unit Test Refactoring,""Test smells arise from poor design practices and insufficient domain knowledge, which can lower the quality of test code and make it harder to maintain and update. Manually refactoring of test smells is time-consuming and error-prone, highlighting the necessity for automated approaches. Current rule-based refactoring methods often struggle in scenarios not covered by predefined rules and lack the flexibility needed to handle diverse cases effectively. In this paper, we propose a novel approach called UTRefactor, a context-enhanced, LLM-based framework for automatic test refactoring in Java projects. UTRefactor extracts relevant context from test code and leverages an external knowledge base that includes test smell definitions, descriptions, and DSL-based refactoring rules. By simulating the manual refactoring process through a chain-of-thought approach, UTRefactor guides the LLM to eliminate test smells in a step-by-step process, ensuring both accuracy and consistency throughout the refactoring. Additionally, we implement a checkpoint mechanism to facilitate comprehensive refactoring, particularly when multiple smells are present. We evaluate UTRefactor on 879 tests from six open-source Java projects, reducing the number of test smells from 2,375 to 265, achieving an 89% reduction. UTRefactor outperforms direct LLM-based refactoring methods by 61.82% in smell elimination and significantly surpasses the performance of a rule-based test smell refactoring tool. Our results demonstrate the effectiveness of UTRefactor in enhancing test code quality while minimizing manual involvement."",""Gao, Yi"; Hu, Xing; Yang, Xiaohu;" Xia, Xin"",2025,Proceedings of the ACM on Software Engineering,String A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"17,Enhancing Automated Unit Test Generation with Large Language Models: A Systematic Literature Review,""Automated unit test generation is a fundamental yet challenging task in software engineering, playing a critical role in ensuring software correctness, reliability, and maintainability. While traditional approaches such as search-based software testing and symbolic execution have achieved notable success, they often suffer from limited semantic understanding, high configuration costs, and scalability constraints. Recent advances in Large Language Models (LLMs) have fundamentally reshaped the landscape of automated unit testing by enabling models to reason over source code semantics and generate executable, context-aware test cases. Despite the rapid growth of this research area, a comprehensive and task-oriented synthesis of existing work remains lacking. This paper presents a systematic literature review of LLM-based unit test generation. This review draws on research from leading SE and AI conferences and journals, including 69 papers published across 25 distinct venues, along with 47 high-quality preprint papers, bringing the total to 116. Our review aims to answer three key research questions: (1) which unit testing tasks have been addressed using LLMs, (2) how LLMs are adapted and integrated into the unit test generation pipeline, and (3) what datasets, benchmarks, and evaluation practices are employed in existing studies. To this end, we organize the literature from a task-centric perspective, covering test generation, test input generation, test oracle generation, and test evolution, and from a methodological perspective, categorizing LLM adaptation strategies into fine-tuning, prompt engineering, and agent-based approaches.Our analysis reveals that current research predominantly focuses on function- and class-level test generation, with comparatively limited attention given to test input generation, oracle construction, and long-term test evolution. Decoder-only LLMs, particularly GPT-family and LLaMA-based models, dominate the field, while encoder-only and encoder–decoder models remain underexplored. We further observe substantial disparities in dataset characteristics, programming language coverage, and evaluation metrics, which hinder fair comparison and reproducibility across studies. Based on empirical evidence extracted from the surveyed literature, we identify key challenges facing LLM-based unit test generation. Building on these findings, we outline several promising research directions, such as dataset optimization, structure-aware context modeling, agent coordination mechanisms, and benchmark enhancement. This review provides a consolidated and evidence-driven foundation for future research, aiming to advance the development of scalable, reliable, and practically applicable LLM-driven unit testing techniques."",""Zhang, Junwei"; Hu, Xing; Gao, Cuiyun; Xia, Xin;" Li, Shanping"",,ACM Transactions on Software Engineering and Methodology,""String A, String B""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"18,Kgent: Kernel Extensions Large Language Model Agent,""The extended Berkeley Packet Filters (eBPF) ecosystem allows for the extension of Linux and Windows kernels, but writing eBPF programs is challenging due to the required knowledge of OS internals and programming limitations enforced by the eBPF verifier. These limitations ensure that only expert kernel developers can extend their kernels, making it difficult for junior sys admins, patch makers, and DevOps personnel to maintain extensions. This paper presents Kgent, an alternative framework that alleviates the difficulty of writing an eBPF program by allowing Kernel Extensions to be written in Natural language. Kgent uses recent advances in large language models (LLMs) to synthesize an eBPF program given a user's English language prompt. To ensure that LLM's output is semantically equivalent to the user's prompt, Kgent employs a combination of LLM-empowered program comprehension, symbolic execution, and a series of feedback loops. Kgent's key novelty is the combination of these techniques. In particular, the system uses symbolic execution in a novel structure that allows it to combine the results of program synthesis and program comprehension and build on the recent success that LLMs have shown for each of these tasks individually.To evaluate Kgent, we develop a new corpus of natural language prompts for eBPF programs. We show that Kgent produces correct eBPF programs on 80%---which is an improvement of a factor of 2.67 compared to GPT-4 program synthesis baseline. Moreover, we find that Kgent very rarely synthesizes """"false positive"""" eBPF programs--- i.e., eBPF programs that Kgent verifies as correct but manual inspection reveals to be semantically incorrect for the input prompt. The code for Kgent is publicly accessible at https://github.com/eunomia-bpf/KEN."",""Zheng, Yusheng"; Yang, Yiwei; Chen, Maolin;" Quinn, Andrew"",2024,Proceedings of the ACM SIGCOMM 2024 Workshop on eBPF and Kernel Extensions,String A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"19,RESTing-LLAMA: Large Language Model based REST API Fuzzing,""Recent advances in Large Language Models (LLMs) have introduced new opportunities in software engineering, cybersecurity, and automated testing. Despite this progress, their application to security fuzzing, particularly for REST APIs, remains largely underexplored. Fuzzing remains a fundamental technique for discovering software vulnerabilities through malformed inputs, but traditional fuzzers often struggle to interact effectively with modern REST APIs due to a lack of semantic understanding needed to generate meaningful request sequences. Yet, existing automated fuzzing approaches frequently fail to uncover vulnerabilities due to their inability to use the APIs correctly. We introduce RESTing-LLAMA, a fully automated and end-to-end fuzzing framework that operates in a black-box setting and leverages LLMs to guide the fuzzing process. By extracting semantic information from OpenAPI specifications and natural language documentation, RESTing-LLAMA generates meaningful and well-structured input sequences that align with real-world API behavior. In our evaluation on fifteen real-world APIs, RESTing-LLAMA uncovered 11 vulnerabilities, including one previously unknown vulnerability, while matching or outperforming state-of-the-art fuzzers. It achieved a 34% false positive rate compared to 45% for the next best fuzzer, while requiring 4.4x fewer requests, highlighting the significant improvement in input quality."",""Gadey, Varun"; Sendner, Christoph; Zimmermann, Keven;" Dmitrienko, Alexandra"",2026,Proceedings of the ACM Asia Conference on Computer and Communications Security,String A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"20,HITS: High-coverage LLM-based Unit Test Generation via Method Slicing,""Large language models (LLMs) have behaved well in generating unit tests for Java projects. However, the performance for covering the complex focal methods within the projects is poor. Complex methods comprise many conditions and loops, requiring the test cases to be various enough to cover all lines and branches. However, existing test generation methods with LLMs provide the whole method-to-test to the LLM without assistance on input analysis. The LLM has difficulty inferring the test inputs to cover all conditions, resulting in missing lines and branches. To tackle the problem, we propose decomposing the focal methods into slices and asking the LLM to generate test cases slice by slice. Our method simplifies the analysis scope, making it easier for the LLM to cover more lines and branches in each slice. We build a dataset comprising complex focal methods collected from the projects used by existing state-of-the-art approaches. Our experiment results show that our method significantly outperforms current test case generation methods with LLMs and the typical SBST method Evosuite regarding both line and branch coverage scores."",""Wang, Zejun"; Liu, Kaibo; Li, Ge;" Jin, Zhi"",2024,Proceedings of the 39th IEEE/ACM International Conference on Automated Software Engineering,String A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"21,SelfPiCo: Self-Guided Partial Code Execution with LLMs,""Code executability plays a vital role in software debugging and testing (e.g., detecting runtime exceptions or assertion violations). However, code execution, especially partial or arbitrary code execution, is a non-trivial task due to missing definitions and complex third-party dependencies. To make partial code (such as code snippets posted on the web or code fragments deep inside complex software projects) executable, the existing study has proposed a machine learning model to predict the undefined element types and inject the pre-defined dummy values into execution. However, the performance of their tool is limited due to its simply designed dummy values and the inability to continue learning. In this paper, we design and implement a novel framework, named SelfPiCo (Self-Guided Partial Code Executor), to dynamically guide partial code execution by incorporating the open-source LLM (i.e., Code Llama) within an interactive loop. Particularly, SelfPiCo leverages few-shot in-context learning and chain-of-thought reasoning to elicit human knowledge and logical reasoning based on fine-tuning the Code Llama model. SelfPiCo continuously learns from code execution results and refines its predictions step after step. Our evaluations demonstrate that SelfPiCo can execute 72.7% and 83.3% of all lines in the open-source code and Stack Overflow snippets, outperforming the most recent state-of-the-art Lexecutor by 37.9% and 33.5%, respectively. Moreover, SelfPiCo successfully detected 18 and 33 runtime type error issues by executing the partial code from eight GitHub software projects and 43 Stack Overflow posts, demonstrating the practical usage and potential application of our framework in practice."",""Xue, Zhipeng"; Gao, Zhipeng; Wang, Shaohua; Hu, Xing; Xia, Xin;" Li, Shanping"",2024,Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis,String A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"22,Increasing Test Coverage by Automating BDD Tests in Proofs of Concepts (POCs) using LLM,,""Santos, Shexmo Richarlison Ribeiro dos"; Fernandes, Raiane Eunice S.; Santos, Marcos Cesar Barbosa dos; Soares, Michel S.; Rocha, Fabio Gomes;" Marczak, Sabrina"",2024,Proceedings of the XXIII Brazilian Symposium on Software Quality,""String A, String B""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
