func_id,language,source_repo,file,func_name,cc,nloc,params,start_line,end_line,raw_source_path,class_path,qualname,is_method,receiver_kind,module_or_package,visibility,param_types,import_hint,enrich_note,ctor_signature,ctor_snippet,ctor_verified,needs_context,ctor_note
JA-018,java,jhy/jsoup,data-research/raw/jsoup/src/main/java/org/jsoup/helper/DataUtil.java,DataUtil::openStream,6,16,1,154,169,data-research/java_functions/JA-018.java,DataUtil,org.jsoup.helper.DataUtil.openStream,yes,static,org.jsoup.helper,private,Path,import org.jsoup.helper.DataUtil;  // call DataUtil.openStream(Path),,,,,,khong phai method
JA-019,java,JodaOrg/joda-time,data-research/raw/joda-time/src/main/java/org/joda/time/DateTimeUtils.java,DateTimeUtils::isContiguous,6,16,1,349,364,data-research/java_functions/JA-019.java,DateTimeUtils,org.joda.time.DateTimeUtils.isContiguous,yes,static,org.joda.time,public,ReadablePartial,import org.joda.time.DateTimeUtils;  // call DateTimeUtils.isContiguous(ReadablePartial),,,,,,khong phai method
JA-020,java,apache/commons-cli,data-research/raw/commons-cli/src/main/java/org/apache/commons/cli/HelpFormatter.java,OptionComparator::appendOptionGroup,6,18,2,391,410,data-research/java_functions/JA-020.java,HelpFormatter,org.apache.commons.cli.HelpFormatter.appendOptionGroup,yes,instance,org.apache.commons.cli,private,"StringBuilder,OptionGroup","import org.apache.commons.cli.HelpFormatter;  // construct HelpFormatter, then instance.appendOptionGroup(StringBuilder, OptionGroup)",,,,,,khong phai method
JA-021,java,JodaOrg/joda-time,data-research/raw/joda-time/src/main/java/org/joda/time/DateTimeComparator.java,DateTimeComparator::getInstance,7,12,2,105,116,data-research/java_functions/JA-021.java,DateTimeComparator,org.joda.time.DateTimeComparator.getInstance,yes,static,org.joda.time,public,"DateTimeFieldType,DateTimeFieldType","import org.joda.time.DateTimeComparator;  // call DateTimeComparator.getInstance(DateTimeFieldType, DateTimeFieldType)",,,,,,khong phai method
JA-022,java,apache/commons-cli,data-research/raw/commons-cli/src/main/java/org/apache/commons/cli/DefaultParser.java,NonOptionAction::handleConcatenatedOptions,7,14,1,408,422,data-research/java_functions/JA-022.java,DefaultParser,org.apache.commons.cli.DefaultParser.handleConcatenatedOptions,yes,instance,org.apache.commons.cli,protected,String,"import org.apache.commons.cli.DefaultParser;  // construct DefaultParser, then instance.handleConcatenatedOptions(String)",,,,,,khong phai method
JA-023,java,apache/commons-collections,data-research/raw/commons-collections/src/main/java/org/apache/commons/collections4/CollectionUtils.java,SetOperationCardinalityHelper::collate,7,23,4,469,493,data-research/java_functions/JA-023.java,CollectionUtils,org.apache.commons.collections4.CollectionUtils.collate,yes,static,org.apache.commons.collections4,public,"Iterable,Iterable,Comparator,boolean","import org.apache.commons.collections4.CollectionUtils;  // call CollectionUtils.collate(Iterable, Iterable, Comparator, boolean)",,,,,,khong phai method
JA-024,java,apache/commons-csv,data-research/raw/commons-csv/src/main/java/org/apache/commons/csv/Lexer.java,Lexer::parseSimpleToken,7,28,2,419,450,data-research/java_functions/JA-024.java,Lexer,org.apache.commons.csv.Lexer.parseSimpleToken,yes,instance,org.apache.commons.csv,private,"Token,int","import org.apache.commons.csv.Lexer;  // construct Lexer, then instance.parseSimpleToken(Token, int)",,,,,,khong phai method
JA-025,java,apache/commons-math,data-research/raw/commons-math/commons-math-core/src/main/java/org/apache/commons/math4/core/jdkmath/AccurateMath.java,AccurateMath::cosh,7,45,1,382,445,data-research/java_functions/JA-025.java,AccurateMath,org.apache.commons.math4.core.jdkmath.AccurateMath.cosh,yes,static,org.apache.commons.math4.core.jdkmath,public,double,import org.apache.commons.math4.core.jdkmath.AccurateMath;  // call AccurateMath.cosh(double),,,,,,khong phai method
JA-026,java,google/gson,data-research/raw/gson/gson/src/main/java/com/google/gson/Gson.java,Gson::getDelegateAdapter,7,25,2,472,501,data-research/java_functions/JA-026.java,Gson,com.google.gson.Gson.getDelegateAdapter,yes,instance,com.google.gson,public,"TypeAdapterFactory,TypeToken","import com.google.gson.Gson;  // construct Gson, then instance.getDelegateAdapter(TypeAdapterFactory, TypeToken)",,,,,,khong phai method
JA-027,java,jfree/jfreechart,data-research/raw/jfreechart/src/main/java/org/jfree/chart/JFreeChart.java,JFreeChart::createAlignedRectangle2D,7,36,4,1140,1176,data-research/java_functions/JA-027.java,JFreeChart,org.jfree.chart.JFreeChart.createAlignedRectangle2D,yes,instance,org.jfree.chart,private,"Size2D,Rectangle2D,HorizontalAlignment,VerticalAlignment","import org.jfree.chart.JFreeChart;  // construct JFreeChart, then instance.createAlignedRectangle2D(Size2D, Rectangle2D, HorizontalAlignment, VerticalAlignment)",,,,,,khong phai method
JA-028,java,jhy/jsoup,data-research/raw/jsoup/src/main/java/org/jsoup/helper/RequestDispatch.java,RequestDispatch::get,7,17,2,33,51,data-research/java_functions/JA-028.java,RequestDispatch,org.jsoup.helper.RequestDispatch.get,yes,static,org.jsoup.helper,package-private,"Request,Response","import org.jsoup.helper.RequestDispatch;  // call RequestDispatch.get(Request, Response)",,,,,,khong phai method
JA-029,java,JodaOrg/joda-time,data-research/raw/joda-time/src/main/java/org/joda/time/DateTimeComparator.java,DateTimeComparator::equals,7,10,1,242,251,data-research/java_functions/JA-029.java,DateTimeComparator,org.joda.time.DateTimeComparator.equals,yes,instance,org.joda.time,public,Object,"import org.joda.time.DateTimeComparator;  // construct DateTimeComparator, then instance.equals(Object)",,,,,,khong phai method
JA-030,java,apache/commons-cli,data-research/raw/commons-cli/src/main/java/org/apache/commons/cli/DefaultParser.java,NonOptionAction::isShortOption,7,11,1,727,740,data-research/java_functions/JA-030.java,DefaultParser,org.apache.commons.cli.DefaultParser.isShortOption,yes,instance,org.apache.commons.cli,private,String,"import org.apache.commons.cli.DefaultParser;  // construct DefaultParser, then instance.isShortOption(String)",,,,,,khong phai method
JA-031,java,JodaOrg/joda-time,data-research/raw/joda-time/src/main/java/org/joda/time/DateTimeZone.java,DateTimeZone::getDefault,8,25,0,164,190,data-research/java_functions/JA-031.java,DateTimeZone,org.joda.time.DateTimeZone.getDefault,yes,static,org.joda.time,public,,import org.joda.time.DateTimeZone;  // call DateTimeZone.getDefault(),,,,,,khong phai method
JA-032,java,apache/commons-cli,data-research/raw/commons-cli/src/main/java/org/apache/commons/cli/DefaultParser.java,NonOptionAction::isLongOption,8,14,1,682,697,data-research/java_functions/JA-032.java,DefaultParser,org.apache.commons.cli.DefaultParser.isLongOption,yes,instance,org.apache.commons.cli,private,String,"import org.apache.commons.cli.DefaultParser;  // construct DefaultParser, then instance.isLongOption(String)",,,,,,khong phai method
JA-033,java,apache/commons-collections,data-research/raw/commons-collections/src/main/java/org/apache/commons/collections4/ArrayUtils.java,ArrayUtils::indexOf,8,22,3,72,93,data-research/java_functions/JA-033.java,ArrayUtils,org.apache.commons.collections4.ArrayUtils.indexOf,yes,static,org.apache.commons.collections4,package-private,"Object,Object,int","import org.apache.commons.collections4.ArrayUtils;  // call ArrayUtils.indexOf(Object, Object, int)",,,,,,khong phai method
JA-034,java,apache/commons-csv,data-research/raw/commons-csv/src/main/java/org/apache/commons/csv/CSVFormat.java,Predefined::trim,8,15,1,1537,1552,data-research/java_functions/JA-034.java,CSVFormat,org.apache.commons.csv.CSVFormat.trim,yes,static,org.apache.commons.csv,package-private,CharSequence,import org.apache.commons.csv.CSVFormat;  // call CSVFormat.trim(CharSequence),,,,,,khong phai method
JA-035,java,apache/commons-math,data-research/raw/commons-math/commons-math-core/src/main/java/org/apache/commons/math4/core/jdkmath/AccurateMath.java,AccurateMath::tanh,8,74,1,575,692,data-research/java_functions/JA-035.java,AccurateMath,org.apache.commons.math4.core.jdkmath.AccurateMath.tanh,yes,static,org.apache.commons.math4.core.jdkmath,public,double,import org.apache.commons.math4.core.jdkmath.AccurateMath;  // call AccurateMath.tanh(double),,,,,,khong phai method
JA-036,java,google/gson,data-research/raw/gson/extras/src/main/java/com/google/gson/typeadapters/UtcDateTypeAdapter.java,UtcDateTypeAdapter::parseInt,8,25,3,255,280,data-research/java_functions/JA-036.java,UtcDateTypeAdapter,com.google.gson.typeadapters.UtcDateTypeAdapter.parseInt,yes,static,com.google.gson.typeadapters,private,"String,int,int","import com.google.gson.typeadapters.UtcDateTypeAdapter;  // call UtcDateTypeAdapter.parseInt(String, int, int)",,,,,,khong phai method
JA-037,java,jfree/jfreechart,data-research/raw/jfreechart/src/main/java/org/jfree/chart/JFreeChart.java,JFreeChart::drawTitle,8,69,4,1192,1261,data-research/java_functions/JA-037.java,JFreeChart,org.jfree.chart.JFreeChart.drawTitle,yes,instance,org.jfree.chart,protected,"Title,Graphics2D,Rectangle2D,boolean","import org.jfree.chart.JFreeChart;  // construct JFreeChart, then instance.drawTitle(Title, Graphics2D, Rectangle2D, boolean)",,,,,,khong phai method
JA-038,java,jhy/jsoup,data-research/raw/jsoup/src/main/java/org/jsoup/nodes/Attributes.java,Attributes::equals,8,14,1,587,601,data-research/java_functions/JA-038.java,Attributes,org.jsoup.nodes.Attributes.equals,yes,instance,org.jsoup.nodes,public,Object,"import org.jsoup.nodes.Attributes;  // construct Attributes, then instance.equals(Object)",brace-scan,,,,,khong phai method
JA-039,java,JodaOrg/joda-time,data-research/raw/joda-time/src/main/java/org/joda/time/Period.java,Period::fieldDifference,8,21,2,259,279,data-research/java_functions/JA-039.java,Period,org.joda.time.Period.fieldDifference,yes,static,org.joda.time,public,"ReadablePartial,ReadablePartial","import org.joda.time.Period;  // call Period.fieldDifference(ReadablePartial, ReadablePartial)",,,,,,khong phai method
JA-040,java,apache/commons-cli,data-research/raw/commons-cli/src/main/java/org/apache/commons/cli/HelpFormatter.java,OptionComparator::appendWrappedText,8,29,4,507,537,data-research/java_functions/JA-040.java,HelpFormatter,org.apache.commons.cli.HelpFormatter.appendWrappedText,yes,instance,org.apache.commons.cli,package-private,"A,int,int,String","import org.apache.commons.cli.HelpFormatter;  // construct HelpFormatter, then instance.appendWrappedText(A, int, int, String)",,,,,,khong phai method
JA-041,java,JodaOrg/joda-time,data-research/raw/joda-time/src/main/java/org/joda/time/DateTimeZone.java,DateTimeZone::getDefaultProvider,9,37,0,535,578,data-research/java_functions/JA-041.java,DateTimeZone,org.joda.time.DateTimeZone.getDefaultProvider,yes,static,org.joda.time,private,,import org.joda.time.DateTimeZone;  // call DateTimeZone.getDefaultProvider(),,,,,,khong phai method
JA-042,java,apache/commons-cli,data-research/raw/commons-cli/src/main/java/org/apache/commons/cli/DefaultParser.java,NonOptionAction::handleUnknownToken,9,12,1,646,657,data-research/java_functions/JA-042.java,DefaultParser,org.apache.commons.cli.DefaultParser.handleUnknownToken,yes,instance,org.apache.commons.cli,protected,String,"import org.apache.commons.cli.DefaultParser;  // construct DefaultParser, then instance.handleUnknownToken(String)",,,,,,khong phai method
JA-043,java,apache/commons-collections,data-research/raw/commons-collections/src/main/java/org/apache/commons/collections4/CollectionUtils.java,SetOperationCardinalityHelper::get,9,34,2,1064,1097,data-research/java_functions/JA-043.java,CollectionUtils,org.apache.commons.collections4.CollectionUtils.get,yes,static,org.apache.commons.collections4,public,"Object,int","import org.apache.commons.collections4.CollectionUtils;  // call CollectionUtils.get(Object, int)",,,,,,khong phai method
JA-044,java,apache/commons-csv,data-research/raw/commons-csv/src/main/java/org/apache/commons/csv/CSVPrinter.java,CSVPrinter::printComment,9,33,1,229,262,data-research/java_functions/JA-044.java,CSVPrinter,org.apache.commons.csv.CSVPrinter.printComment,yes,instance,org.apache.commons.csv,public,String,"import org.apache.commons.csv.CSVPrinter;  // construct CSVPrinter, then instance.printComment(String)",,,,,,khong phai method
JA-045,java,apache/commons-math,data-research/raw/commons-math/commons-math-core/src/main/java/org/apache/commons/math4/core/jdkmath/AccurateMath.java,AccurateMath::expm1,9,93,2,977,1115,data-research/java_functions/JA-045.java,AccurateMath,org.apache.commons.math4.core.jdkmath.AccurateMath.expm1,yes,static,org.apache.commons.math4.core.jdkmath,private,"double,double","import org.apache.commons.math4.core.jdkmath.AccurateMath;  // call AccurateMath.expm1(double, double)",,,,,,khong phai method
JA-046,java,google/gson,data-research/raw/gson/gson/src/main/java/com/google/gson/Gson.java,Gson::getAdapter,9,47,1,340,399,data-research/java_functions/JA-046.java,Gson,com.google.gson.Gson.getAdapter,yes,instance,com.google.gson,public,TypeToken,"import com.google.gson.Gson;  // construct Gson, then instance.getAdapter(TypeToken)",,,,,,khong phai method
JA-047,java,jfree/jfreechart,data-research/raw/jfreechart/src/main/java/org/jfree/chart/annotations/CategoryLineAnnotation.java,CategoryLineAnnotation::equals,9,28,1,335,362,data-research/java_functions/JA-047.java,CategoryLineAnnotation,org.jfree.chart.annotations.CategoryLineAnnotation.equals,yes,instance,org.jfree.chart.annotations,public,Object,"import org.jfree.chart.annotations.CategoryLineAnnotation;  // construct CategoryLineAnnotation, then instance.equals(Object)",,,,,,khong phai method
JA-048,java,jhy/jsoup,data-research/raw/jsoup/src/main/java/org/jsoup/examples/HtmlToPlainText.java,FormattingVisitor::append,9,26,1,100,126,data-research/java_functions/JA-048.java,HtmlToPlainText.FormattingVisitor,org.jsoup.examples.HtmlToPlainText.FormattingVisitor.append,yes,instance,org.jsoup.examples,private,String,import org.jsoup.examples.HtmlToPlainText;  // TARGET IS NESTED: HtmlToPlainText.FormattingVisitor.append(String) — NOT HtmlToPlainText.append(String),nested-class,,,,,khong phai method
JA-049,java,JodaOrg/joda-time,data-research/raw/joda-time/src/main/java/org/joda/time/DateTimeZone.java,DateTimeZone::getOffsetFromLocal,9,30,1,955,992,data-research/java_functions/JA-049.java,DateTimeZone,org.joda.time.DateTimeZone.getOffsetFromLocal,yes,instance,org.joda.time,public,long,"import org.joda.time.DateTimeZone;  // construct DateTimeZone, then instance.getOffsetFromLocal(long)",,,,,,khong phai method
JA-050,java,apache/commons-cli,data-research/raw/commons-cli/src/main/java/org/apache/commons/cli/HelpFormatter.java,OptionComparator::appendOption,9,17,3,363,381,data-research/java_functions/JA-050.java,HelpFormatter,org.apache.commons.cli.HelpFormatter.appendOption,yes,instance,org.apache.commons.cli,private,"StringBuilder,Option,boolean","import org.apache.commons.cli.HelpFormatter;  // construct HelpFormatter, then instance.appendOption(StringBuilder, Option, boolean)",,,,,,khong phai method
JA-051,java,JodaOrg/joda-time,data-research/raw/joda-time/src/main/java/org/joda/time/DateTimeZone.java,DateTimeZone::convertLocalToUTC,10,28,2,1053,1094,data-research/java_functions/JA-051.java,DateTimeZone,org.joda.time.DateTimeZone.convertLocalToUTC,yes,instance,org.joda.time,public,"long,boolean","import org.joda.time.DateTimeZone;  // construct DateTimeZone, then instance.convertLocalToUTC(long, boolean)",,,,,,khong phai method
JA-052,java,apache/commons-cli,data-research/raw/commons-cli/src/main/java/org/apache/commons/cli/PatternOptionBuilder.java,PatternOptionBuilder::getValueType,10,23,1,132,155,data-research/java_functions/JA-052.java,PatternOptionBuilder,org.apache.commons.cli.PatternOptionBuilder.getValueType,yes,static,org.apache.commons.cli,public,char,import org.apache.commons.cli.PatternOptionBuilder;  // call PatternOptionBuilder.getValueType(char),,,,,,khong phai method
JA-053,java,apache/commons-collections,data-research/raw/commons-collections/src/main/java/org/apache/commons/collections4/CollectionUtils.java,SetOperationCardinalityHelper::size,10,30,1,1859,1888,data-research/java_functions/JA-053.java,CollectionUtils,org.apache.commons.collections4.CollectionUtils.size,yes,static,org.apache.commons.collections4,public,Object,import org.apache.commons.collections4.CollectionUtils;  // call CollectionUtils.size(Object),,,,,,khong phai method
JA-054,java,apache/commons-csv,data-research/raw/commons-csv/src/main/java/org/apache/commons/csv/ExtendedBufferedReader.java,ExtendedBufferedReader::read,10,12,0,208,219,data-research/java_functions/JA-054.java,ExtendedBufferedReader,org.apache.commons.csv.ExtendedBufferedReader.read,yes,instance,org.apache.commons.csv,public,,"import org.apache.commons.csv.ExtendedBufferedReader;  // construct ExtendedBufferedReader, then instance.read()",,,,,,khong phai method
JA-055,java,apache/commons-math,data-research/raw/commons-math/commons-math-core/src/main/java/org/apache/commons/math4/core/jdkmath/AccurateMath.java,AccurateMath::sinh,10,84,1,451,569,data-research/java_functions/JA-055.java,AccurateMath,org.apache.commons.math4.core.jdkmath.AccurateMath.sinh,yes,static,org.apache.commons.math4.core.jdkmath,public,double,import org.apache.commons.math4.core.jdkmath.AccurateMath;  // call AccurateMath.sinh(double),,,,,,khong phai method
JA-056,java,google/gson,data-research/raw/gson/gson/src/main/java/com/google/gson/Gson.java,Gson::fromJson,10,42,2,1085,1134,data-research/java_functions/JA-056.java,Gson,com.google.gson.Gson.fromJson,yes,instance,com.google.gson,public,"JsonReader,TypeToken","import com.google.gson.Gson;  // construct Gson, then instance.fromJson(JsonReader, TypeToken)",,,,,,khong phai method
JA-057,java,jfree/jfreechart,data-research/raw/jfreechart/src/main/java/org/jfree/chart/StandardChartTheme.java,StandardChartTheme::applyToTitle,10,35,1,1063,1097,data-research/java_functions/JA-057.java,StandardChartTheme,org.jfree.chart.StandardChartTheme.applyToTitle,yes,instance,org.jfree.chart,protected,Title,"import org.jfree.chart.StandardChartTheme;  // construct StandardChartTheme, then instance.applyToTitle(Title)",,,,,,khong phai method
JA-058,java,jhy/jsoup,data-research/raw/jsoup/src/main/java/org/jsoup/helper/HttpConnection.java,Response::implWritePost,10,51,3,1269,1321,data-research/java_functions/JA-058.java,HttpConnection.Response,org.jsoup.helper.HttpConnection.Response.implWritePost,yes,static,org.jsoup.helper,private,"HttpConnection.Request,BufferedWriter,OutputStream","import org.jsoup.helper.HttpConnection;  // TARGET IS NESTED: HttpConnection.Response.implWritePost(HttpConnection.Request, BufferedWriter, OutputStream) — NOT HttpConnection.implWritePost(HttpConnection.Request, BufferedWriter, OutputStream)",nested-class;brace-scan,,,,,khong phai method
JA-059,java,JodaOrg/joda-time,data-research/raw/joda-time/src/main/java/org/joda/time/Interval.java,Interval::parseWithOffset,10,39,1,106,149,data-research/java_functions/JA-059.java,Interval,org.joda.time.Interval.parseWithOffset,yes,static,org.joda.time,public,String,import org.joda.time.Interval;  // call Interval.parseWithOffset(String),,,,,,khong phai method
JA-060,java,apache/commons-cli,data-research/raw/commons-cli/src/main/java/org/apache/commons/cli/PatternOptionBuilder.java,PatternOptionBuilder::isValueCode,10,3,1,163,165,data-research/java_functions/JA-060.java,PatternOptionBuilder,org.apache.commons.cli.PatternOptionBuilder.isValueCode,yes,static,org.apache.commons.cli,public,char,import org.apache.commons.cli.PatternOptionBuilder;  // call PatternOptionBuilder.isValueCode(char),,,,,,khong phai method
PY-001,python,pallets/flask,data/raw/flask/src/flask/app.py,raise_routing_exception,5,10,2,562,588,data-research/python_functions/PY-001.py,Flask,Flask.raise_routing_exception,yes,instance,flask.app,public,request,"from flask.app import Flask  # construct an instance first, then call instance.raise_routing_exception(...)",,"(self, import_name: 'str', static_url_path: 'str | None' = None, static_folder: 'str | os.PathLike[str] | None' = 'static', static_host: 'str | None' = None, host_matching: 'bool' = False, subdomain_matching: 'bool' = False, template_folder: 'str | os.PathLike[str] | None' = 'templates', instance_path: 'str | None' = None, instance_relative_config: 'bool' = False, root_path: 'str | None' = None)","Flask(import_name=""test_app"")",yes,yes,Flask
PY-002,python,pallets/flask,data/raw/flask/src/flask/app.py,update_template_context,5,12,3,590,618,data-research/python_functions/PY-002.py,Flask,Flask.update_template_context,yes,instance,flask.app,public,"ctx,context","from flask.app import Flask  # construct an instance first, then call instance.update_template_context(...)",,"(self, import_name: 'str', static_url_path: 'str | None' = None, static_folder: 'str | os.PathLike[str] | None' = 'static', static_host: 'str | None' = None, host_matching: 'bool' = False, subdomain_matching: 'bool' = False, template_folder: 'str | os.PathLike[str] | None' = 'templates', instance_path: 'str | None' = None, instance_relative_config: 'bool' = False, root_path: 'str | None' = None)","Flask(import_name=""test_app"")",yes,yes,Flask
