func_id,language,source_repo,file,func_name,class_path,visibility,cc,nloc,params,start_line,end_line,class_path,qualname,is_method,receiver_kind,module_or_package,visibility,param_types,import_hint,enrich_note
CJ-011,java,JodaOrg/joda-time,data/raw/joda-time/src/main/java/org/joda/time/format/FormatUtils.java,FormatUtils::calculateDigitCount,FormatUtils,public,7,15,1,409,423,FormatUtils,org.joda.time.format.FormatUtils.calculateDigitCount,yes,static,org.joda.time.format,public,long,import org.joda.time.format.FormatUtils;  // call FormatUtils.calculateDigitCount(long),
CJ-012,java,apache/commons-cli,data/raw/commons-cli/src/main/java/org/apache/commons/cli/PatternOptionBuilder.java,PatternOptionBuilder::parsePattern,PatternOptionBuilder,public,6,37,1,173,223,PatternOptionBuilder,org.apache.commons.cli.PatternOptionBuilder.parsePattern,yes,static,org.apache.commons.cli,public,String,import org.apache.commons.cli.PatternOptionBuilder;  // call PatternOptionBuilder.parsePattern(String),
CJ-013,java,apache/commons-collections,data/raw/commons-collections/src/main/java/org/apache/commons/collections4/iterators/ListIteratorWrapper.java,ListIteratorWrapper::remove,ListIteratorWrapper,public,5,18,0,214,231,ListIteratorWrapper,org.apache.commons.collections4.iterators.ListIteratorWrapper.remove,yes,instance,org.apache.commons.collections4.iterators,public,,"import org.apache.commons.collections4.iterators.ListIteratorWrapper;  // construct ListIteratorWrapper, then instance.remove()",
CJ-014,java,google/gson,data/raw/gson/proto/src/main/java/com/google/gson/protobuf/ProtoTypeAdapter.java,ProtoTypeAdapter::serialize,ProtoTypeAdapter,public,5,26,3,255,284,ProtoTypeAdapter,com.google.gson.protobuf.ProtoTypeAdapter.serialize,yes,instance,com.google.gson.protobuf,public,"Message,Type,JsonSerializationContext","import com.google.gson.protobuf.ProtoTypeAdapter;  // construct ProtoTypeAdapter, then instance.serialize(Message, Type, JsonSerializationContext)",
CJ-015,java,jhy/jsoup,data/raw/jsoup/src/main/java/org/jsoup/safety/Safelist.java,Safelist::removeAttributes,Safelist,public,8,28,2,334,363,Safelist,org.jsoup.safety.Safelist.removeAttributes,yes,instance,org.jsoup.safety,public,"String,String...","import org.jsoup.safety.Safelist;  // construct Safelist, then instance.removeAttributes(String, String...)",
CJ-016,java,apache/commons-csv,data/raw/commons-csv/src/main/java/org/apache/commons/csv/CSVPrinter.java,CSVPrinter::printComment,CSVPrinter,public,9,33,1,229,262,CSVPrinter,org.apache.commons.csv.CSVPrinter.printComment,yes,instance,org.apache.commons.csv,public,String,"import org.apache.commons.csv.CSVPrinter;  // construct CSVPrinter, then instance.printComment(String)",
CJ-017,java,jfree/jfreechart,data/raw/jfreechart/src/main/java/org/jfree/data/xy/DefaultWindDataset.java,WindDataItem::equals,WindDataItem,public,6,19,1,406,424,WindDataItem,org.jfree.data.xy.WindDataItem.equals,yes,instance,org.jfree.data.xy,public,Object,"import org.jfree.data.xy.WindDataItem;  // construct WindDataItem, then instance.equals(Object)",
CJ-018,java,apache/commons-math,data/raw/commons-math/commons-math-legacy/src/main/java/org/apache/commons/math4/legacy/linear/OpenIntToFieldHashMap.java,OpenIntToFieldHashMap::remove,OpenIntToFieldHashMap,public,5,19,1,358,380,OpenIntToFieldHashMap,org.apache.commons.math4.legacy.linear.OpenIntToFieldHashMap.remove,yes,instance,org.apache.commons.math4.legacy.linear,public,int,"import org.apache.commons.math4.legacy.linear.OpenIntToFieldHashMap;  // construct OpenIntToFieldHashMap, then instance.remove(int)",
CJ-019,java,JodaOrg/joda-time,data/raw/joda-time/src/main/java/org/joda/time/chrono/LimitChronology.java,LimitChronology::withZone,LimitChronology,public,8,29,1,138,172,LimitChronology,org.joda.time.chrono.LimitChronology.withZone,yes,instance,org.joda.time.chrono,public,DateTimeZone,"import org.joda.time.chrono.LimitChronology;  // construct LimitChronology, then instance.withZone(DateTimeZone)",
CJ-020,java,apache/commons-cli,data/raw/commons-cli/src/main/java/org/apache/commons/cli/help/TextHelpAppendable.java,TextHelpAppendable::indexOfWrap,TextHelpAppendable,public,8,22,3,75,101,TextHelpAppendable,org.apache.commons.cli.help.TextHelpAppendable.indexOfWrap,yes,static,org.apache.commons.cli.help,public,"CharSequence,int,int","import org.apache.commons.cli.help.TextHelpAppendable;  // call TextHelpAppendable.indexOfWrap(CharSequence, int, int)",
CJ-021,java,apache/commons-collections,data/raw/commons-collections/src/main/java/org/apache/commons/collections4/bloomfilter/ArrayCountingBloomFilter.java,ArrayCountingBloomFilter::processBitMaps,ArrayCountingBloomFilter,public,7,24,1,217,242,ArrayCountingBloomFilter,org.apache.commons.collections4.bloomfilter.ArrayCountingBloomFilter.processBitMaps,yes,instance,org.apache.commons.collections4.bloomfilter,public,LongPredicate,"import org.apache.commons.collections4.bloomfilter.ArrayCountingBloomFilter;  // construct ArrayCountingBloomFilter, then instance.processBitMaps(LongPredicate)",
CJ-022,java,google/gson,data/raw/gson/gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java,Node::equals,LinkedTreeMap.Node,public,5,8,1,510,517,LinkedTreeMap.Node,com.google.gson.internal.LinkedTreeMap.Node.equals,yes,instance,com.google.gson.internal,public,Object,import com.google.gson.internal.LinkedTreeMap;  // TARGET IS NESTED: LinkedTreeMap.Node.equals(Object) — NOT LinkedTreeMap.equals(Object),nested-class
CJ-023,java,jhy/jsoup,data/raw/jsoup/src/main/java/org/jsoup/nodes/Element.java,Element::hasClass,Element,public,9,16,1,1889,1912,Element,org.jsoup.nodes.Element.hasClass,yes,instance,org.jsoup.nodes,public,String,"import org.jsoup.nodes.Element;  // construct Element, then instance.hasClass(String)",
CJ-024,java,apache/commons-csv,data/raw/commons-csv/src/main/java/org/apache/commons/csv/CSVPrinter.java,CSVPrinter::CSVPrinter,CSVPrinter,public,5,15,2,107,123,CSVPrinter,org.apache.commons.csv.CSVPrinter.CSVPrinter,yes,instance,org.apache.commons.csv,public,"Appendable,CSVFormat","import org.apache.commons.csv.CSVPrinter;  // construct CSVPrinter, then instance.CSVPrinter(Appendable, CSVFormat)",
CJ-025,java,jfree/jfreechart,data/raw/jfreechart/src/main/java/org/jfree/data/statistics/MeanAndStandardDeviation.java,MeanAndStandardDeviation::equals,MeanAndStandardDeviation,public,5,17,1,141,157,MeanAndStandardDeviation,org.jfree.data.statistics.MeanAndStandardDeviation.equals,yes,instance,org.jfree.data.statistics,public,Object,"import org.jfree.data.statistics.MeanAndStandardDeviation;  // construct MeanAndStandardDeviation, then instance.equals(Object)",
CJ-026,java,apache/commons-math,data/raw/commons-math/commons-math-core/src/main/java/org/apache/commons/math4/core/jdkmath/AccurateMath.java,AccurateMath::asin,AccurateMath,public,7,46,1,2732,2802,AccurateMath,org.apache.commons.math4.core.jdkmath.AccurateMath.asin,yes,static,org.apache.commons.math4.core.jdkmath,public,double,import org.apache.commons.math4.core.jdkmath.AccurateMath;  // call AccurateMath.asin(double),
CJ-027,java,JodaOrg/joda-time,data/raw/joda-time/src/main/java/org/joda/time/Seconds.java,Seconds::seconds,Seconds,public,7,18,1,71,88,Seconds,org.joda.time.Seconds.seconds,yes,static,org.joda.time,public,int,import org.joda.time.Seconds;  // call Seconds.seconds(int),
CJ-028,java,apache/commons-cli,data/raw/commons-cli/src/main/java/org/apache/commons/cli/Parser.java,Parser::processArgs,Parser,public,7,18,2,217,237,Parser,org.apache.commons.cli.Parser.processArgs,yes,instance,org.apache.commons.cli,public,"Option,ListIterator","import org.apache.commons.cli.Parser;  // construct Parser, then instance.processArgs(Option, ListIterator)",
CJ-029,java,apache/commons-collections,data/raw/commons-collections/src/main/java/org/apache/commons/collections4/bidimap/AbstractDualBidiMap.java,View::retainAll,AbstractDualBidiMap.View,public,5,18,1,539,556,AbstractDualBidiMap.View,org.apache.commons.collections4.bidimap.AbstractDualBidiMap.View.retainAll,yes,instance,org.apache.commons.collections4.bidimap,public,Collection,import org.apache.commons.collections4.bidimap.AbstractDualBidiMap;  // TARGET IS NESTED: AbstractDualBidiMap.View.retainAll(Collection) — NOT AbstractDualBidiMap.retainAll(Collection),nested-class
CJ-030,java,google/gson,data/raw/gson/gson/src/main/java/com/google/gson/internal/Primitives.java,Primitives::wrap,Primitives,public,10,12,1,64,75,Primitives,com.google.gson.internal.Primitives.wrap,yes,static,com.google.gson.internal,public,Class,import com.google.gson.internal.Primitives;  // call Primitives.wrap(Class),
CJ-031,java,jhy/jsoup,data/raw/jsoup/src/main/java/org/jsoup/internal/StringUtil.java,StringUtil::isNumeric,StringUtil,public,5,10,1,179,189,StringUtil,org.jsoup.internal.StringUtil.isNumeric,yes,static,org.jsoup.internal,public,String,import org.jsoup.internal.StringUtil;  // call StringUtil.isNumeric(String),
CJ-032,java,jfree/jfreechart,data/raw/jfreechart/src/main/java/org/jfree/chart/internal/ArrayUtils.java,ArrayUtils::equal,ArrayUtils,public,6,17,2,124,143,ArrayUtils,org.jfree.chart.internal.ArrayUtils.equal,yes,static,org.jfree.chart.internal,public,"float,float","import org.jfree.chart.internal.ArrayUtils;  // call ArrayUtils.equal(float, float)",
CJ-033,java,apache/commons-math,data/raw/commons-math/commons-math-legacy/src/main/java/org/apache/commons/math4/legacy/linear/BiDiagonalTransformer.java,BiDiagonalTransformer::getB,BiDiagonalTransformer,public,6,21,0,134,158,BiDiagonalTransformer,org.apache.commons.math4.legacy.linear.BiDiagonalTransformer.getB,yes,instance,org.apache.commons.math4.legacy.linear,public,,"import org.apache.commons.math4.legacy.linear.BiDiagonalTransformer;  // construct BiDiagonalTransformer, then instance.getB()",
CJ-034,java,JodaOrg/joda-time,data/raw/joda-time/src/main/java/org/joda/time/base/AbstractInterval.java,AbstractInterval::equals,AbstractInterval,public,5,13,1,464,476,AbstractInterval,org.joda.time.base.AbstractInterval.equals,yes,instance,org.joda.time.base,public,Object,"import org.joda.time.base.AbstractInterval;  // construct AbstractInterval, then instance.equals(Object)",
CJ-035,java,apache/commons-cli,data/raw/commons-cli/src/main/java/org/apache/commons/cli/OptionGroup.java,OptionGroup::toString,OptionGroup,public,5,24,0,155,178,OptionGroup,org.apache.commons.cli.OptionGroup.toString,yes,instance,org.apache.commons.cli,public,,"import org.apache.commons.cli.OptionGroup;  // construct OptionGroup, then instance.toString()",
CJ-036,java,apache/commons-collections,data/raw/commons-collections/src/main/java/org/apache/commons/collections4/CollectionUtils.java,CollectionUtils::removeCount,CollectionUtils,public,6,26,3,1546,1572,CollectionUtils,org.apache.commons.collections4.CollectionUtils.removeCount,yes,static,org.apache.commons.collections4,public,"Collection,int,int","import org.apache.commons.collections4.CollectionUtils;  // call CollectionUtils.removeCount(Collection, int, int)",
CJ-037,java,google/gson,data/raw/gson/gson/src/main/java/com/google/gson/internal/Excluder.java,Excluder::create,Excluder,public,6,34,2,111,156,Excluder,com.google.gson.internal.Excluder.create,yes,instance,com.google.gson.internal,public,"Gson,TypeToken","import com.google.gson.internal.Excluder;  // construct Excluder, then instance.create(Gson, TypeToken)",
CJ-038,java,jhy/jsoup,data/raw/jsoup/src/main/java/org/jsoup/helper/W3CDom.java,W3CBuilder::head,W3CDom.W3CBuilder,public,10,31,2,359,392,W3CDom.W3CBuilder,org.jsoup.helper.W3CDom.W3CBuilder.head,yes,instance,org.jsoup.helper,public,"org,int","import org.jsoup.helper.W3CDom;  // TARGET IS NESTED: W3CDom.W3CBuilder.head(org, int) — NOT W3CDom.head(org, int)",nested-class
CJ-039,java,jfree/jfreechart,data/raw/jfreechart/src/main/java/org/jfree/chart/renderer/AbstractRenderer.java,AbstractRenderer::lookupSeriesShape,AbstractRenderer,public,5,14,1,1471,1486,AbstractRenderer,org.jfree.chart.renderer.AbstractRenderer.lookupSeriesShape,yes,instance,org.jfree.chart.renderer,public,int,"import org.jfree.chart.renderer.AbstractRenderer;  // construct AbstractRenderer, then instance.lookupSeriesShape(int)",
CJ-040,java,apache/commons-math,data/raw/commons-math/commons-math-legacy/src/main/java/org/apache/commons/math4/legacy/random/SobolSequenceGenerator.java,SobolSequenceGenerator::SobolSequenceGenerator,SobolSequenceGenerator,public,7,24,1,90,122,SobolSequenceGenerator,org.apache.commons.math4.legacy.random.SobolSequenceGenerator.SobolSequenceGenerator,yes,instance,org.apache.commons.math4.legacy.random,public,int,"import org.apache.commons.math4.legacy.random.SobolSequenceGenerator;  // construct SobolSequenceGenerator, then instance.SobolSequenceGenerator(int)",
CJ-041,java,JodaOrg/joda-time,data/raw/joda-time/src/main/java/org/joda/time/tz/FixedDateTimeZone.java,FixedDateTimeZone::equals,FixedDateTimeZone,public,5,13,1,96,108,FixedDateTimeZone,org.joda.time.tz.FixedDateTimeZone.equals,yes,instance,org.joda.time.tz,public,Object,"import org.joda.time.tz.FixedDateTimeZone;  // construct FixedDateTimeZone, then instance.equals(Object)",
CJ-042,java,apache/commons-cli,data/raw/commons-cli/src/main/java/org/apache/commons/cli/Option.java,Option::toString,Option,public,5,23,0,1006,1030,Option,org.apache.commons.cli.Option.toString,yes,instance,org.apache.commons.cli,public,,"import org.apache.commons.cli.Option;  // construct Option, then instance.toString()",
CJ-043,java,apache/commons-collections,data/raw/commons-collections/src/main/java/org/apache/commons/collections4/bidimap/AbstractDualBidiMap.java,View::removeIf,AbstractDualBidiMap.View,public,5,16,1,512,527,AbstractDualBidiMap.View,org.apache.commons.collections4.bidimap.AbstractDualBidiMap.View.removeIf,yes,instance,org.apache.commons.collections4.bidimap,public,Predicate,import org.apache.commons.collections4.bidimap.AbstractDualBidiMap;  // TARGET IS NESTED: AbstractDualBidiMap.View.removeIf(Predicate) — NOT AbstractDualBidiMap.removeIf(Predicate),nested-class
CJ-044,java,google/gson,data/raw/gson/metrics/src/main/java/com/google/gson/metrics/BagOfPrimitivesDeserializationBenchmark.java,BagOfPrimitivesDeserializationBenchmark::timeBagOfPrimitivesReflectionStreaming,BagOfPrimitivesDeserializationBenchmark,public,9,28,1,94,121,BagOfPrimitivesDeserializationBenchmark,com.google.gson.metrics.BagOfPrimitivesDeserializationBenchmark.timeBagOfPrimitivesReflectionStreaming,yes,instance,com.google.gson.metrics,public,int,"import com.google.gson.metrics.BagOfPrimitivesDeserializationBenchmark;  // construct BagOfPrimitivesDeserializationBenchmark, then instance.timeBagOfPrimitivesReflectionStreaming(int)",
CJ-045,java,jhy/jsoup,data/raw/jsoup/src/main/java/org/jsoup/examples/HtmlToPlainText.java,FormattingVisitor::head,HtmlToPlainText.FormattingVisitor,public,5,11,2,77,87,HtmlToPlainText.FormattingVisitor,org.jsoup.examples.HtmlToPlainText.FormattingVisitor.head,yes,instance,org.jsoup.examples,public,"Node,int","import org.jsoup.examples.HtmlToPlainText;  // TARGET IS NESTED: HtmlToPlainText.FormattingVisitor.head(Node, int) — NOT HtmlToPlainText.head(Node, int)",nested-class
CJ-046,java,jfree/jfreechart,data/raw/jfreechart/src/main/java/org/jfree/data/time/Minute.java,Minute::equals,Minute,public,5,16,1,381,396,Minute,org.jfree.data.time.Minute.equals,yes,instance,org.jfree.data.time,public,Object,"import org.jfree.data.time.Minute;  // construct Minute, then instance.equals(Object)",
CJ-047,java,apache/commons-math,data/raw/commons-math/commons-math-legacy-core/src/main/java/org/apache/commons/math4/legacy/core/dfp/DfpMath.java,DfpMath::log,DfpMath,public,7,44,1,312,372,DfpMath,org.apache.commons.math4.legacy.core.dfp.DfpMath.log,yes,static,org.apache.commons.math4.legacy.core.dfp,public,Dfp,import org.apache.commons.math4.legacy.core.dfp.DfpMath;  // call DfpMath.log(Dfp),
CJ-048,java,JodaOrg/joda-time,data/raw/joda-time/src/main/java/org/joda/time/LocalTime.java,Property::getField,LocalTime,protected,5,14,0,552,565,LocalTime,org.joda.time.LocalTime.getField,yes,instance,org.joda.time,protected,"int,Chronology","import org.joda.time.LocalTime;  // construct LocalTime, then instance.getField(int, Chronology)",
CJ-049,java,apache/commons-cli,data/raw/commons-cli/src/main/java/org/apache/commons/cli/help/TextHelpAppendable.java,TextHelpAppendable::appendList,TextHelpAppendable,public,5,13,2,216,228,TextHelpAppendable,org.apache.commons.cli.help.TextHelpAppendable.appendList,yes,instance,org.apache.commons.cli.help,public,"boolean,Collection","import org.apache.commons.cli.help.TextHelpAppendable;  // construct TextHelpAppendable, then instance.appendList(boolean, Collection)",
CJ-050,java,apache/commons-collections,data/raw/commons-collections/src/main/java/org/apache/commons/collections4/map/AbstractHashedMap.java,AbstractHashedMap::containsValue,AbstractHashedMap,public,8,24,1,808,831,AbstractHashedMap,org.apache.commons.collections4.map.AbstractHashedMap.containsValue,yes,instance,org.apache.commons.collections4.map,public,Object,"import org.apache.commons.collections4.map.AbstractHashedMap;  // construct AbstractHashedMap, then instance.containsValue(Object)",
CJ-051,java,google/gson,data/raw/gson/gson/src/main/java/com/google/gson/GsonBuilder.java,GsonBuilder::registerTypeHierarchyAdapter,GsonBuilder,public,7,22,2,818,840,GsonBuilder,com.google.gson.GsonBuilder.registerTypeHierarchyAdapter,yes,instance,com.google.gson,public,"Class,Object","import com.google.gson.GsonBuilder;  // construct GsonBuilder, then instance.registerTypeHierarchyAdapter(Class, Object)",
CJ-052,java,jhy/jsoup,data/raw/jsoup/src/main/java/org/jsoup/nodes/Element.java,Element::cssSelector,Element,public,5,17,0,1113,1131,Element,org.jsoup.nodes.Element.cssSelector,yes,instance,org.jsoup.nodes,public,,"import org.jsoup.nodes.Element;  // construct Element, then instance.cssSelector()",
CJ-053,java,jfree/jfreechart,data/raw/jfreechart/src/main/java/org/jfree/chart/plot/MeterInterval.java,MeterInterval::equals,MeterInterval,public,8,25,1,164,188,MeterInterval,org.jfree.chart.plot.MeterInterval.equals,yes,instance,org.jfree.chart.plot,public,Object,"import org.jfree.chart.plot.MeterInterval;  // construct MeterInterval, then instance.equals(Object)",
CJ-054,java,apache/commons-math,data/raw/commons-math/commons-math-legacy-core/src/main/java/org/apache/commons/math4/legacy/core/MathArrays.java,MathArrays::isMonotonic,MathArrays,public,10,39,3,307,347,MathArrays,org.apache.commons.math4.legacy.core.MathArrays.isMonotonic,yes,static,org.apache.commons.math4.legacy.core,public,"T,OrderDirection,boolean","import org.apache.commons.math4.legacy.core.MathArrays;  // call MathArrays.isMonotonic(T, OrderDirection, boolean)",
CJ-055,java,JodaOrg/joda-time,data/raw/joda-time/src/main/java/org/joda/time/field/BaseDateTimeField.java,BaseDateTimeField::getMaximumTextLength,BaseDateTimeField,public,5,13,1,871,883,BaseDateTimeField,org.joda.time.field.BaseDateTimeField.getMaximumTextLength,yes,instance,org.joda.time.field,public,Locale,"import org.joda.time.field.BaseDateTimeField;  // construct BaseDateTimeField, then instance.getMaximumTextLength(Locale)",
CJ-056,java,apache/commons-cli,data/raw/commons-cli/src/main/java/org/apache/commons/cli/help/HelpFormatter.java,HelpFormatter::getTableDefinition,HelpFormatter,public,5,36,1,163,208,HelpFormatter,org.apache.commons.cli.help.HelpFormatter.getTableDefinition,yes,instance,org.apache.commons.cli.help,public,Iterable,"import org.apache.commons.cli.help.HelpFormatter;  // construct HelpFormatter, then instance.getTableDefinition(Iterable)",
CJ-057,java,apache/commons-collections,data/raw/commons-collections/src/main/java/org/apache/commons/collections4/CollectionUtils.java,CollectionUtils::filter,CollectionUtils,public,5,12,2,840,851,CollectionUtils,org.apache.commons.collections4.CollectionUtils.filter,yes,static,org.apache.commons.collections4,public,"Iterable,Predicate","import org.apache.commons.collections4.CollectionUtils;  // call CollectionUtils.filter(Iterable, Predicate)",
CJ-058,java,google/gson,data/raw/gson/gson/src/main/java/com/google/gson/internal/bind/JsonTreeReader.java,JsonTreeReader::nextDouble,JsonTreeReader,public,7,16,0,237,252,JsonTreeReader,com.google.gson.internal.bind.JsonTreeReader.nextDouble,yes,instance,com.google.gson.internal.bind,public,,"import com.google.gson.internal.bind.JsonTreeReader;  // construct JsonTreeReader, then instance.nextDouble()",
CJ-059,java,jhy/jsoup,data/raw/jsoup/src/main/java/org/jsoup/examples/ListLinks.java,ListLinks::main,ListLinks,public,5,26,1,19,48,ListLinks,org.jsoup.examples.ListLinks.main,yes,static,org.jsoup.examples,public,String,import org.jsoup.examples.ListLinks;  // call ListLinks.main(String),
CJ-060,java,jfree/jfreechart,data/raw/jfreechart/src/main/java/org/jfree/chart/plot/CategoryMarker.java,CategoryMarker::equals,CategoryMarker,public,6,19,1,157,175,CategoryMarker,org.jfree.chart.plot.CategoryMarker.equals,yes,instance,org.jfree.chart.plot,public,Object,"import org.jfree.chart.plot.CategoryMarker;  // construct CategoryMarker, then instance.equals(Object)",
CP-001,python,psf/requests,data/raw/requests/src/requests/sessions.py,merge_hooks,,public,5,10,3,108,124,,merge_hooks,no,function,requests.sessions,public,"request_hooks,session_hooks,dict_class",from requests.sessions import merge_hooks,
CP-002,python,pallets/flask,data/raw/flask/src/flask/cli.py,parse_args,FlaskGroup,public,5,7,3,678,688,FlaskGroup,FlaskGroup.parse_args,yes,instance,flask.cli,public,"ctx,args","from flask.cli import FlaskGroup  # construct an instance first, then call instance.parse_args(...)",
CP-003,python,psf/requests,data/raw/requests/src/requests/cookies.py,morsel_to_cookie,,public,5,25,1,531,557,,morsel_to_cookie,no,function,requests.cookies,public,morsel,from requests.cookies import morsel_to_cookie,
CP-004,python,pallets/flask,data/raw/flask/src/flask/app.py,update_template_context,Flask,public,5,12,3,590,618,Flask,Flask.update_template_context,yes,instance,flask.app,public,"ctx,context","from flask.app import Flask  # construct an instance first, then call instance.update_template_context(...)",
CP-005,python,psf/requests,data/raw/requests/src/requests/utils.py,unquote_header_value,,public,5,6,2,475,497,,unquote_header_value,no,function,requests.utils,public,"value,is_filename",from requests.utils import unquote_header_value,
CP-006,python,pallets/flask,data/raw/flask/src/flask/app.py,handle_exception,Flask,public,6,17,3,897,948,Flask,Flask.handle_exception,yes,instance,flask.app,public,"ctx,e","from flask.app import Flask  # construct an instance first, then call instance.handle_exception(...)",
CP-007,python,psf/requests,data/raw/requests/src/requests/adapters.py,request_url,HTTPAdapter,public,5,15,3,565,597,HTTPAdapter,HTTPAdapter.request_url,yes,instance,requests.adapters,public,"request,proxies","from requests.adapters import HTTPAdapter  # construct an instance first, then call instance.request_url(...)",
CP-008,python,pallets/flask,data/raw/flask/src/flask/cli.py,shell_command,,public,5,24,0,1001,1045,,shell_command,no,function,flask.cli,public,,from flask.cli import shell_command,
CP-009,python,psf/requests,data/raw/requests/src/requests/hooks.py,dispatch_hook,,public,6,16,4,32,48,,dispatch_hook,no,function,requests.hooks,public,"key,hooks,hook_data",from requests.hooks import dispatch_hook,
CP-010,python,pallets/flask,data/raw/flask/src/flask/cli.py,get_command,FlaskGroup,public,5,14,3,609,634,FlaskGroup,FlaskGroup.get_command,yes,instance,flask.cli,public,"ctx,name","from flask.cli import FlaskGroup  # construct an instance first, then call instance.get_command(...)",
CP-011,python,psf/requests,data/raw/requests/src/requests/sessions.py,prepare_request,Session,public,6,28,2,511,555,Session,Session.prepare_request,yes,instance,requests.sessions,public,request,"from requests.sessions import Session  # construct an instance first, then call instance.prepare_request(...)",
CP-012,python,pallets/flask,data/raw/flask/src/flask/sansio/app.py,trap_http_exception,App,public,6,13,2,893,926,App,App.trap_http_exception,yes,instance,flask.sansio.app,public,e,"from flask.sansio.app import App  # construct an instance first, then call instance.trap_http_exception(...)",
CP-013,python,psf/requests,data/raw/requests/src/requests/models.py,prepare_content_length,PreparedRequest,public,5,10,2,654,668,PreparedRequest,PreparedRequest.prepare_content_length,yes,instance,requests.models,public,body,"from requests.models import PreparedRequest  # construct an instance first, then call instance.prepare_content_length(...)",
