function_id,language,cc,method,branch_coverage,mutation_score,compiled
JA-049,java,9,evosuite,25.0,0.0,1
JA-051,java,10,evosuite,27.78,0.0,1
JA-059,java,10,evosuite,94.44,0.0,1
JA-001,java,5,randoop,100.0,0.0,1
JA-009,java,5,randoop,50.0,0.0,1
JA-011,java,6,randoop,20.0,0.0,1
JA-019,java,6,randoop,50.0,0.0,1
JA-021,java,7,randoop,100.0,0.0,1
JA-029,java,7,randoop,85.71,0.0,1
JA-031,java,8,randoop,70.0,0.0,1
JA-039,java,8,randoop,100.0,0.0,1
JA-041,java,9,randoop,66.67,0.0,1
JA-049,java,9,randoop,25.0,0.0,1
JA-051,java,10,randoop,27.78,0.0,1
JA-059,java,10,randoop,94.44,0.0,1
PY-001,python,5,gpt4o-mini,0.0,0.0,0
PY-002,python,5,gpt4o-mini,0.0,0.0,0
PY-003,python,5,gpt4o-mini,0.0,0.0,0
PY-004,python,5,gpt4o-mini,0.0,0.0,0
PY-005,python,5,gpt4o-mini,0.0,0.0,0
PY-006,python,5,gpt4o-mini,0.0,0.0,0
PY-007,python,5,gpt4o-mini,0.0,0.0,0
PY-008,python,5,gpt4o-mini,0.0,0.0,0
PY-009,python,5,gpt4o-mini,0.0,0.0,0
PY-010,python,5,gpt4o-mini,0.0,0.0,0
PY-011,python,6,gpt4o-mini,0.0,0.0,0
PY-012,python,6,gpt4o-mini,0.0,0.0,0
PY-013,python,6,gpt4o-mini,0.0,0.0,0
PY-014,python,6,gpt4o-mini,0.0,0.0,0
PY-015,python,6,gpt4o-mini,0.0,0.0,0
PY-016,python,6,gpt4o-mini,100.0,100.0,1
PY-017,python,6,gpt4o-mini,0.0,0.0,0
PY-018,python,6,gpt4o-mini,0.0,0.0,0
PY-019,python,6,gpt4o-mini,0.0,0.0,0
PY-020,python,6,gpt4o-mini,0.0,0.0,0
PY-021,python,7,gpt4o-mini,0.0,0.0,0
PY-022,python,7,gpt4o-mini,0.0,0.0,0
PY-023,python,7,gpt4o-mini,0.0,0.0,0
PY-024,python,7,gpt4o-mini,0.0,0.0,0
PY-025,python,7,gpt4o-mini,0.0,0.0,0
PY-026,python,7,gpt4o-mini,0.0,0.0,0
PY-027,python,7,gpt4o-mini,0.0,0.0,0
PY-028,python,7,gpt4o-mini,0.0,0.0,0
PY-029,python,7,gpt4o-mini,0.0,0.0,0
PY-030,python,7,gpt4o-mini,0.0,0.0,0
PY-031,python,8,gpt4o-mini,0.0,0.0,0
PY-032,python,8,gpt4o-mini,0.0,0.0,0
PY-033,python,8,gpt4o-mini,0.0,0.0,0
PY-034,python,8,gpt4o-mini,0.0,0.0,0
PY-035,python,8,gpt4o-mini,0.0,0.0,0
PY-036,python,8,gpt4o-mini,0.0,0.0,0
PY-037,python,8,gpt4o-mini,75.0,0.0,1
PY-038,python,8,gpt4o-mini,0.0,0.0,0
PY-039,python,8,gpt4o-mini,90.0,66.67,1
PY-040,python,9,gpt4o-mini,0.0,0.0,0
PY-041,python,9,gpt4o-mini,0.0,0.0,0
PY-042,python,9,gpt4o-mini,0.0,0.0,0
PY-043,python,9,gpt4o-mini,0.0,0.0,0
PY-044,python,9,gpt4o-mini,0.0,0.0,0
PY-045,python,9,gpt4o-mini,0.0,0.0,0
PY-046,python,10,gpt4o-mini,0.0,0.0,0
PY-047,python,10,gpt4o-mini,0.0,0.0,0
PY-048,python,10,gpt4o-mini,0.0,0.0,0
PY-049,python,10,gpt4o-mini,100.0,100.0,1
PY-050,python,5,gpt4o-mini,0.0,0.0,0
PY-051,python,5,gpt4o-mini,0.0,0.0,0
PY-052,python,5,gpt4o-mini,0.0,0.0,0
PY-053,python,5,gpt4o-mini,0.0,0.0,0
PY-054,python,5,gpt4o-mini,0.0,0.0,0
PY-055,python,5,gpt4o-mini,0.0,0.0,0
PY-056,python,5,gpt4o-mini,0.0,0.0,0
PY-057,python,5,gpt4o-mini,0.0,0.0,0
PY-058,python,5,gpt4o-mini,0.0,0.0,0
PY-059,python,5,gpt4o-mini,0.0,0.0,0
PY-060,python,5,gpt4o-mini,0.0,0.0,0
JA-042,java,9,gpt4o-mini,0.0,0.0,0
JA-030,java,7,gpt4o-mini,0.0,0.0,0
JA-020,java,6,gpt4o-mini,0.0,0.0,0
JA-012,java,6,gpt4o-mini,0.0,0.0,0
JA-022,java,7,gpt4o-mini,0.0,0.0,0
JA-052,java,10,gpt4o-mini,0.0,0.0,0
JA-040,java,8,gpt4o-mini,0.0,0.0,0
JA-050,java,9,gpt4o-mini,0.0,0.0,0
JA-002,java,5,gpt4o-mini,0.0,0.0,0
JA-010,java,5,gpt4o-mini,0.0,0.0,0
JA-032,java,8,gpt4o-mini,0.0,0.0,0
JA-060,java,10,gpt4o-mini,100.0,100.0,1
JA-053,java,10,gpt4o-mini,0.0,0.0,0
JA-033,java,8,gpt4o-mini,0.0,0.0,0
JA-043,java,9,gpt4o-mini,0.0,0.0,0
JA-003,java,5,gpt4o-mini,0.0,0.0,0
JA-023,java,7,gpt4o-mini,0.0,0.0,0
JA-013,java,6,gpt4o-mini,100.0,100.0,1
JA-004,java,5,gpt4o-mini,0.0,0.0,0
JA-044,java,9,gpt4o-mini,0.0,0.0,0
JA-014,java,6,gpt4o-mini,0.0,0.0,0
JA-024,java,7,gpt4o-mini,0.0,0.0,0
JA-054,java,10,gpt4o-mini,0.0,0.0,0
JA-034,java,8,gpt4o-mini,0.0,0.0,0
JA-045,java,9,gpt4o-mini,0.0,0.0,0
JA-015,java,6,gpt4o-mini,0.0,0.0,0
JA-025,java,7,gpt4o-mini,0.0,0.0,0
JA-055,java,10,gpt4o-mini,0.0,0.0,0
JA-005,java,5,gpt4o-mini,75.0,,1
JA-035,java,8,gpt4o-mini,92.86,,1
JA-016,java,6,gpt4o-mini,0.0,0.0,0
JA-036,java,8,gpt4o-mini,0.0,0.0,0
JA-006,java,5,gpt4o-mini,0.0,0.0,0
JA-046,java,9,gpt4o-mini,0.0,0.0,0
JA-026,java,7,gpt4o-mini,0.0,0.0,0
JA-056,java,10,gpt4o-mini,0.0,0.0,0
JA-037,java,8,gpt4o-mini,0.0,0.0,0
JA-027,java,7,gpt4o-mini,0.0,0.0,0
JA-057,java,10,gpt4o-mini,0.0,0.0,0
JA-017,java,6,gpt4o-mini,0.0,0.0,0
JA-047,java,9,gpt4o-mini,0.0,0.0,0
JA-007,java,5,gpt4o-mini,87.5,,1
JA-009,java,5,gpt4o-mini,0.0,0.0,0
JA-001,java,5,gpt4o-mini,0.0,0.0,0
JA-021,java,7,gpt4o-mini,0.0,0.0,0
JA-011,java,6,gpt4o-mini,0.0,0.0,0
JA-051,java,10,gpt4o-mini,0.0,0.0,0
JA-049,java,9,gpt4o-mini,0.0,0.0,0
JA-059,java,10,gpt4o-mini,0.0,0.0,0
JA-019,java,6,gpt4o-mini,0.0,0.0,0
JA-041,java,9,gpt4o-mini,0.0,0.0,0
JA-029,java,7,gpt4o-mini,0.0,0.0,0
JA-031,java,8,gpt4o-mini,0.0,0.0,0
JA-039,java,8,gpt4o-mini,0.0,0.0,0
JA-058,java,10,gpt4o-mini,0.0,0.0,0
JA-048,java,9,gpt4o-mini,0.0,0.0,0
JA-018,java,6,gpt4o-mini,0.0,0.0,0
JA-028,java,7,gpt4o-mini,0.0,0.0,0
JA-008,java,5,gpt4o-mini,0.0,0.0,0
JA-038,java,8,gpt4o-mini,0.0,0.0,0
