function_id,language,cc,branch_coverage,compiled,method,mutation_score
PY-049,python,10,100.0,1,gpt-4o-mini,84.0
PY-050,python,5,100.0,1,gpt-4o-mini,45.45
PY-051,python,5,0.0,0,gpt-4o-mini,
PY-052,python,5,0.0,0,gpt-4o-mini,
PY-053,python,5,0.0,0,gpt-4o-mini,
PY-054,python,5,83.33,1,gpt-4o-mini,12.5
PY-055,python,5,0.0,0,gpt-4o-mini,
PY-056,python,5,0.0,0,gpt-4o-mini,
PY-057,python,5,0.0,1,gpt-4o-mini,
PY-058,python,5,25.0,1,gpt-4o-mini,
PY-059,python,5,100.0,1,gpt-4o-mini,14.29
PY-060,python,5,0.0,0,gpt-4o-mini,
JA-002,java,5,100.0,1,evosuite,71.43
JA-010,java,5,83.33,1,evosuite,71.43
JA-012,java,6,80.0,1,evosuite,63.64
JA-020,java,6,0.0,1,evosuite,0.0
JA-022,java,7,50.0,1,evosuite,30.77
JA-030,java,7,0.0,1,evosuite,0.0
JA-032,java,8,0.0,1,evosuite,0.0
JA-040,java,8,91.67,1,evosuite,53.85
JA-042,java,9,93.75,1,evosuite,63.64
JA-050,java,9,68.75,1,evosuite,12.5
JA-052,java,10,100.0,1,evosuite,100.0
JA-060,java,10,100.0,1,evosuite,100.0
JA-002,java,5,12.5,1,randoop,0.0
JA-010,java,5,16.67,1,randoop,28.57
JA-012,java,6,0.0,1,randoop,0.0
JA-020,java,6,0.0,1,randoop,0.0
JA-022,java,7,0.0,1,randoop,0.0
JA-030,java,7,0.0,1,randoop,0.0
JA-032,java,8,0.0,1,randoop,0.0
JA-040,java,8,75.0,1,randoop,30.77
JA-042,java,9,0.0,1,randoop,0.0
JA-050,java,9,0.0,1,randoop,0.0
JA-052,java,10,20.0,1,randoop,11.11
JA-060,java,10,60.0,1,randoop,100.0
JA-004,java,5,62.5,1,evosuite,0.0
JA-014,java,6,0.0,1,evosuite,0.0
JA-024,java,7,0.0,1,evosuite,0.0
JA-034,java,8,100.0,1,evosuite,0.0
JA-044,java,9,20.0,1,evosuite,25.0
JA-054,java,10,100.0,1,evosuite,0.0
JA-004,java,5,50.0,1,randoop,0.0
JA-014,java,6,0.0,1,randoop,0.0
JA-024,java,7,0.0,1,randoop,0.0
JA-034,java,8,0.0,1,randoop,0.0
JA-044,java,9,0.0,1,randoop,0.0
JA-054,java,10,0.0,1,randoop,0.0
JA-007,java,5,50.0,1,evosuite,0.0
JA-017,java,6,0.0,1,evosuite,
JA-027,java,7,0.0,1,evosuite,0.0
JA-037,java,8,0.0,1,evosuite,0.0
JA-047,java,9,0.0,1,evosuite,0.0
JA-057,java,10,22.22,1,evosuite,0.0
JA-007,java,5,50.0,1,randoop,0.0
JA-017,java,6,0.0,1,randoop,
JA-027,java,7,0.0,1,randoop,0.0
JA-037,java,8,0.0,1,randoop,0.0
JA-047,java,9,0.0,1,randoop,0.0
JA-057,java,10,22.22,1,randoop,0.0
JA-003,java,5,0.0,1,evosuite,0.0
JA-013,java,6,100.0,1,evosuite,72.73
JA-023,java,7,0.0,1,evosuite,0.0
JA-033,java,8,100.0,1,evosuite,0.0
JA-043,java,9,0.0,1,evosuite,64.29
JA-053,java,10,0.0,1,evosuite,80.0
JA-003,java,5,0.0,1,randoop,0.0
JA-013,java,6,60.0,1,randoop,72.73
JA-023,java,7,0.0,1,randoop,0.0
JA-033,java,8,0.0,1,randoop,0.0
JA-043,java,9,78.57,1,randoop,64.29
JA-053,java,10,62.5,1,randoop,80.0
JA-005,java,5,100.0,1,evosuite,86.59
JA-015,java,6,90.0,1,evosuite,62.96
JA-025,java,7,100.0,1,evosuite,71.64
JA-035,java,8,100.0,1,evosuite,85.32
JA-045,java,9,100.0,1,evosuite,55.73
JA-055,java,10,100.0,1,evosuite,69.11
JA-005,java,5,100.0,1,randoop,86.59
JA-015,java,6,90.0,1,randoop,62.96
JA-025,java,7,100.0,1,randoop,71.64
JA-035,java,8,100.0,1,randoop,85.32
JA-045,java,9,100.0,1,randoop,55.73
JA-055,java,10,100.0,1,randoop,69.11
JA-006,java,5,0.0,1,evosuite,0.0
JA-016,java,6,0.0,1,evosuite,0.0
JA-036,java,8,0.0,1,evosuite,0.0
JA-006,java,5,0.0,1,randoop,0.0
JA-016,java,6,0.0,1,randoop,0.0
JA-036,java,8,0.0,1,randoop,0.0
JA-026,java,7,0.0,1,evosuite,0.0
JA-046,java,9,0.0,1,evosuite,0.0
JA-056,java,10,0.0,1,evosuite,0.0
JA-026,java,7,0.0,1,randoop,0.0
JA-046,java,9,0.0,1,randoop,0.0
JA-056,java,10,0.0,1,randoop,0.0
JA-008,java,5,60.0,1,evosuite,0.0
JA-018,java,6,0.0,1,evosuite,0.0
JA-028,java,7,80.0,1,evosuite,0.0
JA-038,java,8,93.75,1,evosuite,0.0
JA-048,java,9,100.0,1,evosuite,
JA-058,java,10,38.89,1,evosuite,
JA-008,java,5,60.0,1,randoop,0.0
JA-018,java,6,0.0,1,randoop,0.0
JA-028,java,7,80.0,1,randoop,0.0
JA-038,java,8,93.75,1,randoop,0.0
JA-048,java,9,100.0,1,randoop,
JA-058,java,10,38.89,1,randoop,
JA-001,java,5,100.0,1,evosuite,0.0
JA-009,java,5,50.0,1,evosuite,0.0
JA-011,java,6,20.0,1,evosuite,0.0
JA-019,java,6,50.0,1,evosuite,0.0
JA-021,java,7,100.0,1,evosuite,0.0
JA-029,java,7,85.71,1,evosuite,0.0
JA-031,java,8,70.0,1,evosuite,0.0
JA-039,java,8,100.0,1,evosuite,0.0
JA-041,java,9,66.67,1,evosuite,0.0
JA-049,java,9,25.0,1,evosuite,0.0
JA-051,java,10,27.78,1,evosuite,0.0
JA-059,java,10,94.44,1,evosuite,0.0
JA-001,java,5,100.0,1,randoop,0.0
JA-009,java,5,50.0,1,randoop,0.0
JA-011,java,6,20.0,1,randoop,0.0
JA-019,java,6,50.0,1,randoop,0.0
JA-021,java,7,100.0,1,randoop,0.0
JA-029,java,7,85.71,1,randoop,0.0
JA-031,java,8,70.0,1,randoop,0.0
JA-039,java,8,100.0,1,randoop,0.0
JA-041,java,9,66.67,1,randoop,0.0
JA-049,java,9,25.0,1,randoop,0.0
JA-051,java,10,27.78,1,randoop,0.0
JA-059,java,10,94.44,1,randoop,0.0
